Departamento_Votacion,Municipio_Votacion,Puesto_Votacion
ATLANTICO,BARRANQUILLA,INS.DIS.DESAR.INT.NVA GRANADA
ATLANTICO,BARRANQUILLA,IDETH SEDE PRINCIPAL SEDE II
ATLANTICO,BARRANQUILLA,COL.DTAL OLAYA(ANT C.E.B.108)
ATLANTICO,BARRANQUILLA,COL DISTRITAL MARIA INMACULADA
ATLANTICO,BARRANQUILLA,IE DISTRITAL LA MERCED
ATLANTICO,BARRANQUILLA,COLEGIO JOSE EUSEBIO CARO (BLOQUE NUEVO)
ATLANTICO,BARRANQUILLA,IED KARL PARRISH
ATLANTICO,BARRANQUILLA,COL.CAMILO TORRES
ATLANTICO,BARRANQUILLA,COLEGIO NAZARETH LUCERO
ATLANTICO,BARRANQUILLA,ES.NORMAL SUPERIOR LA HACIENDA
ATLANTICO,BARRANQUILLA,COLEGIO AMERICANO
ATLANTICO,BARRANQUILLA,IED CARLOS MEISEL
ATLANTICO,BARRANQUILLA,C.DTAL.EL SILENCIO(ANT CEB 050
ATLANTICO,BARRANQUILLA,I.E.D. JAVIER SANCHEZ
ATLANTICO,BARRANQUILLA,COLEGIO HILDA MUÑOZ
ATLANTICO,BARRANQUILLA,COL. DTAL. JUAN JOSE RONDON
ATLANTICO,BARRANQUILLA,COL.DTAL.LA SALLE
ATLANTICO,BARRANQUILLA,COLEGIO JORGE NICOLAS ABELLO
ATLANTICO,BARRANQUILLA,IDETH SEDE I PRIMARIA
ATLANTICO,BARRANQUILLA,IED SALVADOR SUAREZ SUAREZ
ATLANTICO,BARRANQUILLA,JORGE NICOLAS ABELLO SD 2
ATLANTICO,BARRANQUILLA,I.E.D.INOCENCIO CHINCA
ATLANTICO,BARRANQUILLA,COL SOFIA CAMARGO DE LLERAS PRIMARIA
ATLANTICO,BARRANQUILLA,IED SALVADOR ENTREGAS
ATLANTICO,BARRANQUILLA,COLEGIO DISTRITAL MARIE POUSSEPIN
ATLANTICO,BARRANQUILLA,IED DAVID SANCHEZ JULIAO
ATLANTICO,BARRANQUILLA,C.DIST.SARIT ARTETA DE VASQUEZ
ATLANTICO,BARRANQUILLA,INST.LAS MERCEDES COL.SAN PABL
ATLANTICO,BARRANQUILLA,COLEGIO CRISTIANO PENIEL
ATLANTICO,BARRANQUILLA,I.E.D.SONIA AHUMADA
ATLANTICO,BARRANQUILLA,COLEGIO SANTA MARIA DE LA PROVIDENCIA
ATLANTICO,BARRANQUILLA,COL.MANUEL ELKIN PATARROYO SD 2
ATLANTICO,BARRANQUILLA,COL MANUEL ELKIN PATARROYO SD 1
ATLANTICO,BARRANQUILLA,I.E.D. ZAPATA OLIVELLA
ATLANTICO,BARRANQUILLA,COL. TEC. SAN CARLOS BORROMEO
ATLANTICO,BARRANQUILLA,JUAN ACOSTA SOLERA
ATLANTICO,BARRANQUILLA,IED BETSABE ESPINOSA
ATLANTICO,BARRANQUILLA,CENTRO DE EDUCACION BASICA C.E.B.161
ATLANTICO,BARRANQUILLA,I.E.D.EL PUEBLO
ATLANTICO,BARRANQUILLA,NODO SENA CONSTRUCCION
ATLANTICO,BARRANQUILLA,MEGA COLEGIO IED VILLAS DE SAN PABLO
ATLANTICO,BARRANQUILLA,COL ALBERTO ASSA
ATLANTICO,BARRANQUILLA,COL. JOSE RAIMUNDO SOJO (MEGA)
